month,channel,week,timeofday,videos,filename,numofworkers
201906,CH1,4,afternoon,1,,
201906,CH1,4,evening,1,,
201906,CH1,4,morning,1,,
201906,CH2,1,afternoon,1,12,21
201906,CH2,1,evening,1,12,15
201906,CH2,1,morning,1,12,32
201906,CH2,2,afternoon,1,12,91
201906,CH2,2,evening,1,12,2
201906,CH2,2,morning,1,12,42
201906,CH2,3,afternoon,1,12,91
201906,CH2,3,evening,1,12,8
201906,CH2,3,morning,1,12,93
201906,CH2,4,afternoon,1,12,57
201906,CH2,4,evening,1,12,5
201906,CH2,4,morning,1,12,55
201906,CH9,1,afternoon,1,12,29
201906,CH9,1,evening,1,12,9
201906,CH9,1,morning,1,12,25
201906,CH9,2,afternoon,1,12,14
201906,CH9,2,evening,1,12,51
201906,CH9,2,morning,1,12,5
201906,CH9,3,afternoon,1,,
201906,CH9,3,evening,1,12,23
201906,CH9,3,morning,1,12,26
201906,CH9,4,afternoon,1,12,29
201906,CH9,4,evening,1,12,50
201906,CH9,4,morning,1,12,12
201907,CH1,1,afternoon,1,,
201907,CH1,1,evening,1,12,5
201907,CH1,1,morning,1,,
201907,CH1,2,afternoon,1,,
201907,CH1,2,evening,1,,
201907,CH1,2,morning,1,,
201907,CH1,3,afternoon,1,12,14
201907,CH1,3,evening,1,,
201907,CH1,3,morning,1,,
201907,CH1,4,afternoon,1,12,38
201907,CH1,4,evening,1,12,53
201907,CH1,4,morning,1,12,18
201907,CH2,1,afternoon,1,,
201907,CH2,1,evening,1,,
201907,CH2,1,morning,1,12,33
201907,CH2,2,afternoon,1,,
201907,CH2,2,evening,1,,
201907,CH2,2,morning,1,,
201907,CH2,3,afternoon,1,12,41
201907,CH2,3,evening,1,12,19
201907,CH2,3,morning,1,12,13
201907,CH2,4,afternoon,1,12,21
201907,CH2,4,evening,1,12,4
201907,CH2,4,morning,1,12,14
201907,CH9,1,afternoon,1,24,95
201907,CH9,1,evening,1,24,60
201907,CH9,1,morning,1,24,46
201907,CH9,2,afternoon,1,24,15
201907,CH9,2,evening,1,24,72
201907,CH9,2,morning,1,24,64
201907,CH9,3,afternoon,1,24,125
201907,CH9,3,evening,1,24,65
201907,CH9,3,morning,1,24,98
201907,CH9,4,afternoon,1,24,41
201907,CH9,4,evening,1,24,87
201907,CH9,4,morning,1,24,38
201909,CH9,1,afternoon,1,,
201909,CH9,1,evening,1,,
201909,CH9,1,morning,1,,
201909,CH9,2,afternoon,1,,
201909,CH9,2,evening,1,,
201909,CH9,2,morning,1,,
201909,CH9,3,afternoon,1,12,14
201909,CH9,3,evening,1,12,19
201909,CH9,3,morning,1,12,6
201909,CH9,4,afternoon,1,12,52
201909,CH9,4,evening,1,,
201909,CH9,4,morning,1,12,83
,,,,,4416,16285
